Director,Tier,CareerPhase,Region,PrimaryLane,SecondaryLanes,ScaleProven,TonalDNA,Last3Features,LastFilm,LastFilmYear,LastFilmType,NextProject,NextStatus,ActorMagnet,PackagingNotes,OpsNotes,ResearchStatus,SeededOn,WikipediaSearch,IMDbSearch,TheNumbersURL,Last3_Source,Film1_Title,Film1_ReleaseDate,Film1_DomesticGrossUSD,Film1_IntlGrossUSD,Film1_WWGrossUSD,Film2_Title,Film2_ReleaseDate,Film2_DomesticGrossUSD,Film2_IntlGrossUSD,Film2_WWGrossUSD,Film3_Title,Film3_ReleaseDate,Film3_DomesticGrossUSD,Film3_IntlGrossUSD,Film3_WWGrossUSD,LastFilmWWGrossUSD,BudgetBandTypical,BudgetBandLowUSD,BudgetBandHighUSD,id,director_qid,tier_ai,tier_ai_confidence,tier_ai_as_of,availability_ai,availability_ai_confidence,availability_ai_as_of,ai_evidence_urls,reps_manual,internal_notes,exclude,watchlist_priority
Chris McKay,T2,Established,US/Intl,Family,"Fantasy,Adventure,Animation",Studio/Tentpole,"accessible, emotional",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Chris+McKay,https://www.imdb.com/find/?q=Chris+McKay&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:18d6968ecd7fe96bb0bf3fe71f5e55f542fe785f,,,,,,,,,,,,
Chris Sanders,T2,Established,US/Intl,Animation,"Family,Fantasy",Studio,"animated, family",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Chris+Sanders,https://www.imdb.com/find/?q=Chris+Sanders&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:1c0f8d3c1f7398ded771f252b3e8977f36999fb4,,,,,,,,,,,,
Christopher Miller,T2,Established,US/UK,Comedy,"Action-comedy,Drama",Mid/Studio,"comedic, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Christopher+Miller,https://www.imdb.com/find/?q=Christopher+Miller&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:f72c9e866b718f92b61534d848bf51642dcd333e,,,,,,,,,,,,
Colin Trevorrow,T2,Established,US/Intl,Sci-fi,"Action,Thriller/Mystery",Studio/Tentpole,"concept-driven, visual",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Colin+Trevorrow,https://www.imdb.com/find/?q=Colin+Trevorrow&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:c68e15bfa6391fcc30cfb91734e38ae47373c798,,,,,,,,,,,,
Craig Gillespie,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Craig+Gillespie,https://www.imdb.com/find/?q=Craig+Gillespie&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:35c5a8a1a9cb5b350e9ad7560f8defc4c154154d,,,,,,,,,,,,
D. J. Caruso,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=D.+J.+Caruso,https://www.imdb.com/find/?q=D.+J.+Caruso&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:40187098448b21313d6f0afc093b21440ce37b23,,,,,,,,,,,,
Damien Chazelle,T2,Rebuild/next swing,,Music/artist drama,"Period, thriller",$20M–$80M,"Kinetic, romantic, big setpieces",Babylon (2022); First Man (2018); La La Land (2016),Babylon,2022,Theatrical,Untitled prison drama (Craig/Murphy/Williams),In development (cast announced),4,Talent magnet; recent box-office miss makes lane/scale choice important.,Ambitious setpieces can drive cost.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=Damien+Chazelle,https://www.imdb.com/find/?q=Damien+Chazelle&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:e7100bcf41b79eb8e35fdae1b236bbd308dffd3e,,,,,,,,,,,,
Dan Gilroy,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Dan+Gilroy,https://www.imdb.com/find/?q=Dan+Gilroy&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:603dacbccc965639627f9eeb24a319fcb4d5bb58,,,,,,,,,,,,
David Ayer,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=David+Ayer,https://www.imdb.com/find/?q=David+Ayer&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:7c2c393152f1890550623bff0651d753b1c435b1,,,,,,,,,,,,
David Dobkin,T2,Established,US/UK,Comedy,"Action-comedy,Drama",Mid/Studio,"comedic, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=David+Dobkin,https://www.imdb.com/find/?q=David+Dobkin&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:1486297cfc13d7314e208b6d905a65a4ef4288eb,,,,,,,,,,,,
David F. Sandberg,T2,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid/Studio,"tense, atmospheric",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=David+F.+Sandberg,https://www.imdb.com/find/?q=David+F.+Sandberg&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:c134fd0607ab19e68aecbe3179b114c61a3c4a48,,,,,,,,,,,,
David Frankel,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=David+Frankel,https://www.imdb.com/find/?q=David+Frankel&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:ccab3f03b3e025c730d70b49085d91cba6edd192,,,,,,,,,,,,
David Lowery,T2,Established,US/Intl,Family,"Fantasy,Adventure,Animation",Studio/Tentpole,"accessible, emotional",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=David+Lowery,https://www.imdb.com/find/?q=David+Lowery&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:4099031edb141dd0175df543890237070413a989,,,,,,,,,,,,
David Mackenzie,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=David+Mackenzie,https://www.imdb.com/find/?q=David+Mackenzie&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:f1f395bb10fe8297ba1de14e9313e017d4105a47,,,,,,,,,,,,
David Yates,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=David+Yates,https://www.imdb.com/find/?q=David+Yates&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:5ab28fb8ab68fe2d75ccdb9ed75ca7a332ccf881,,,,,,,,,,,,
Dean DeBlois,T2,Established,US/Intl,Animation,"Family,Fantasy",Studio,"animated, family",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Dean+DeBlois,https://www.imdb.com/find/?q=Dean+DeBlois&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:5f6d0ff95db8caf1cd4c0bd349ef6bcd1557369b,,,,,,,,,,,,
Dee Rees,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Dee+Rees,https://www.imdb.com/find/?q=Dee+Rees&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:8727b278de33842d8db48bab60ed8226792b24a7,,,,,,,,,,,,
Destin Daniel Cretton,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Destin+Daniel+Cretton,https://www.imdb.com/find/?q=Destin+Daniel+Cretton&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:baa4e9faa71fd3ba66589a4bba6ee0c9a41f6909,,,,,,,,,,,,
Don Hall,T2,Established,US/Intl,Animation,"Family,Fantasy",Studio,"animated, family",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Don+Hall,https://www.imdb.com/find/?q=Don+Hall&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:d508f3cdd1f57a6029e211de64c58849a03e0a6a,,,,,,,,,,,,
Doug Liman,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Doug+Liman,https://www.imdb.com/find/?q=Doug+Liman&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:931924812f732a0c8b0c241b8650f56105d7df72,,,,,,,,,,,,
Duncan Jones,T2,Established,US/Intl,Sci-fi,"Action,Thriller/Mystery",Studio/Tentpole,"concept-driven, visual",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Duncan+Jones,https://www.imdb.com/find/?q=Duncan+Jones&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:2870259536b847864b0dc4f66683af759a7893a4,,,,,,,,,,,,
Edgar Wright,T2,Established,US/UK,Comedy,"Action-comedy,Drama",Mid/Studio,"comedic, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Edgar+Wright,https://www.imdb.com/find/?q=Edgar+Wright&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:96dccbea424d31b35dfb2925a07d952d651b5623,,,,,,,,,,,,
Eli Roth,T2,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid/Studio,"tense, atmospheric",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Eli+Roth,https://www.imdb.com/find/?q=Eli+Roth&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:9513f42c1d1dca5008c13b788710b570fdc15bf7,,,,,,,,,,,,
Emerald Fennell,T2,Hot,,Dark comedy / provocative drama,Period romance,$10M–$60M,"Satirical, edgy, stylized",Saltburn (2023); Promising Young Woman (2020); (shorts/TV prior),Saltburn,2023,Streamer + limited theatrical,Wuthering Heights,Releasing,4,Tone-specific; can attract buzzy casts.,Content can be polarizing; marketing sensitive.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=Emerald+Fennell,https://www.imdb.com/find/?q=Emerald+Fennell&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:38fb49495cd1905b7262c9a1e90bff923a193107,,,,,,,,,,,,
F. Gary Gray,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=F.+Gary+Gray,https://www.imdb.com/find/?q=F.+Gary+Gray&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:0e4b94945f229430446946bae816338f9ebf65bb,,,,,,,,,,,,
Fede Álvarez,T2,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid/Studio,"tense, atmospheric",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Fede+%C3%81lvarez,https://www.imdb.com/find/?q=Fede+%C3%81lvarez&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:8d4b336e2bcc08b11a6fb69942584e6536cde4c1,,,,,,,,,,,,
Fernando Meirelles,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Fernando+Meirelles,https://www.imdb.com/find/?q=Fernando+Meirelles&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:28c83a41e3cfea5fa8b63b20423c90ac42c41b04,,,,,,,,,,,,
Francis Lawrence,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Francis+Lawrence,https://www.imdb.com/find/?q=Francis+Lawrence&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:da8848116bc165d4dd05d9d760e86670e961ac31,,,,,,,,,,,,
Gareth Edwards,T2,Established,US/Intl,Sci-fi,"Action,Thriller/Mystery",Studio/Tentpole,"concept-driven, visual",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Gareth+Edwards,https://www.imdb.com/find/?q=Gareth+Edwards&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:733467ecafda807d4e70404b0ca1b451d4009d09,,,,,,,,,,,,
Gareth Evans,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Gareth+Evans,https://www.imdb.com/find/?q=Gareth+Evans&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:7ea89a164076e5cfb175ce86172cde42fdb133f9,,,,,,,,,,,,
Garth Jennings,T2,Established,US/Intl,Animation,"Family,Fantasy",Studio,"animated, family",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Garth+Jennings,https://www.imdb.com/find/?q=Garth+Jennings&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:47caf41df79b3d6460ea79839b15fd00917f16fa,,,,,,,,,,,,
Gavin Hood,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Gavin+Hood,https://www.imdb.com/find/?q=Gavin+Hood&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:6fd82a041060c3fb93283e71b69587e17cf8ae33,,,,,,,,,,,,
George Miller,T2,Established,US/Intl,Family,"Fantasy,Adventure,Animation",Studio/Tentpole,"accessible, emotional",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=George+Miller,https://www.imdb.com/find/?q=George+Miller&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:1e3cbdb239d610c5a13d791a77970e635cfa4525,,,,,,,,,,,,
George Tillman Jr.,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=George+Tillman+Jr.,https://www.imdb.com/find/?q=George+Tillman+Jr.&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:87bcb2afce43cc4f5f516b6cd08b166786a98dff,,,,,,,,,,,,
Gina Prince-Bythewood,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Gina+Prince-Bythewood,https://www.imdb.com/find/?q=Gina+Prince-Bythewood&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:49d0db997c7ac1b7f6142ea5390815734ada4f63,,,,,,,,,,,,
Gore Verbinski,T2,Established,US/Intl,Family,"Fantasy,Adventure,Animation",Studio/Tentpole,"accessible, emotional",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Gore+Verbinski,https://www.imdb.com/find/?q=Gore+Verbinski&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:92ef4a9fe3547dbd7e4ba95c92217e81845b04df,,,,,,,,,,,,
Greg Mottola,T2,Established,US/UK,Comedy,"Action-comedy,Drama",Mid/Studio,"comedic, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Greg+Mottola,https://www.imdb.com/find/?q=Greg+Mottola&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:1d2a8d746ddd3dc4b46858d227d47bfc04bfcc2a,,,,,,,,,,,,
Guy Ritchie,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Guy+Ritchie,https://www.imdb.com/find/?q=Guy+Ritchie&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:0c8a9d1ffa35fc66612f14792f507fc97078169a,,,,,,,,,,,,
Hayao Miyazaki,T2,Established,US/Intl,Animation,"Family,Fantasy",Studio,"animated, family",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Hayao+Miyazaki,https://www.imdb.com/find/?q=Hayao+Miyazaki&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:a6d95ffaa7795495118a35887c0fd46bd3dd0bd9,,,,,,,,,,,,
Hirokazu Kore-eda,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Hirokazu+Kore-eda,https://www.imdb.com/find/?q=Hirokazu+Kore-eda&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:fadc8b5e11b634db2868bab94d28ad1144614216,,,,,,,,,,,,
Ira Sachs,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Ira+Sachs,https://www.imdb.com/find/?q=Ira+Sachs&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:adafcf23f010da02b32cb99ce1309a1ac43b07d6,,,,,,,,,,,,
J. J. Abrams,T2,Established,US/Intl,Sci-fi,"Action,Thriller/Mystery",Studio/Tentpole,"concept-driven, visual",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=J.+J.+Abrams,https://www.imdb.com/find/?q=J.+J.+Abrams&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:2790880a4841b7712bdc13902781acc3bcd16c67,,,,,,,,,,,,
Jake Kasdan,T2,Established,US/UK,Comedy,"Action-comedy,Drama",Mid/Studio,"comedic, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Jake+Kasdan,https://www.imdb.com/find/?q=Jake+Kasdan&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:375a9a4f65509f57af761d1c9487317f3a59e050,,,,,,,,,,,,
James Bobin,T2,Established,US/Intl,Family,"Fantasy,Adventure,Animation",Studio/Tentpole,"accessible, emotional",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=James+Bobin,https://www.imdb.com/find/?q=James+Bobin&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:de7e593fbf3b5b3a9c371e6bc9ff5c932cb0a83c,,,,,,,,,,,,
James DeMonaco,T2,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid/Studio,"tense, atmospheric",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=James+DeMonaco,https://www.imdb.com/find/?q=James+DeMonaco&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:3e2055018392423b9482a26f95da914821e76d5d,,,,,,,,,,,,
James Gray,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=James+Gray,https://www.imdb.com/find/?q=James+Gray&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:fd5da1d7d2050abc8c5cd80fd67d1abbe5efebbe,,,,,,,,,,,,
James Mangold,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=James+Mangold,https://www.imdb.com/find/?q=James+Mangold&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:7e74fe229d1d87d338d7d7db347a33cc4c92a6e6,,,,,,,,,,,,
Jason Reitman,T2,Established,US/UK,Comedy,"Action-comedy,Drama",Mid/Studio,"comedic, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Jason+Reitman,https://www.imdb.com/find/?q=Jason+Reitman&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:7770a512d70ec501ae17eb8ce2028a702ddf96ed,,,,,,,,,,,,
Jaume Balagueró,T2,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid/Studio,"tense, atmospheric",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Jaume+Balaguer%C3%B3,https://www.imdb.com/find/?q=Jaume+Balaguer%C3%B3&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:c8b333ea93a80efe68d3c650dc47734c2f9b08d8,,,,,,,,,,,,
Jaume Collet-Serra,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Jaume+Collet-Serra,https://www.imdb.com/find/?q=Jaume+Collet-Serra&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:63b559d0347cc69b4262003612fa666664c33d55,,,,,,,,,,,,
Jennifer Kent,T2,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid/Studio,"tense, atmospheric",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Jennifer+Kent,https://www.imdb.com/find/?q=Jennifer+Kent&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:9cbd7467fe7935b56ff13e53343d5926148bb9c2,,,,,,,,,,,,
Jennifer Lee,T2,Established,US/Intl,Animation,"Family,Fantasy",Studio,"animated, family",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Jennifer+Lee,https://www.imdb.com/find/?q=Jennifer+Lee&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:bf1cdd2152aea6c2bebf8c3f09490380416319ec,,,,,,,,,,,,
Joe Carnahan,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Joe+Carnahan,https://www.imdb.com/find/?q=Joe+Carnahan&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:cc19d6b7af3b7b61c4a286e4226c58dd2b3e25bc,,,,,,,,,,,,
Joe Johnston,T2,Established,US/Intl,Family,"Fantasy,Adventure,Animation",Studio/Tentpole,"accessible, emotional",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Joe+Johnston,https://www.imdb.com/find/?q=Joe+Johnston&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:003f63d19c21fa35750982b4528d04c34686b644,,,,,,,,,,,,
Joe Kosinski,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Joe+Kosinski,https://www.imdb.com/find/?q=Joe+Kosinski&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:be022b957197f1eeaeac588d8bff7097d12c5233,,,,,,,,,,,,
John Francis Daley,T2,Established,US/UK,Comedy,"Action-comedy,Drama",Mid/Studio,"comedic, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=John+Francis+Daley,https://www.imdb.com/find/?q=John+Francis+Daley&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:34d7d77af5d360052d1e4a694252b05a5b1524da,,,,,,,,,,,,
Joko Anwar,T2,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid/Studio,"tense, atmospheric",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Joko+Anwar,https://www.imdb.com/find/?q=Joko+Anwar&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:09c46c522fa01510d293ab62a653380880be712a,,,,,,,,,,,,
Jon Favreau,T2,Established,US/Intl,Family,"Fantasy,Adventure,Animation",Studio/Tentpole,"accessible, emotional",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Jon+Favreau,https://www.imdb.com/find/?q=Jon+Favreau&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:229731952bc642f04a515a68ede80780ad78c0ca,,,,,,,,,,,,
Jon M. Chu,T2,Established,US/Intl,Family,"Fantasy,Adventure,Animation",Studio/Tentpole,"accessible, emotional",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Jon+M.+Chu,https://www.imdb.com/find/?q=Jon+M.+Chu&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:12a0be67191108935ce8031006196128783e0059,,,,,,,,,,,,
Jonathan Goldstein,T2,Established,US/UK,Comedy,"Action-comedy,Drama",Mid/Studio,"comedic, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Jonathan+Goldstein,https://www.imdb.com/find/?q=Jonathan+Goldstein&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:ca38ef4ec62f46e9121819d3f8ed20625934e67d,,,,,,,,,,,,
José Padilha,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Jos%C3%A9+Padilha,https://www.imdb.com/find/?q=Jos%C3%A9+Padilha&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:d736ed257d3bb28a12ab4e8df63afd937bf1076a,,,,,,,,,,,,
Juan Antonio Bayona,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Juan+Antonio+Bayona,https://www.imdb.com/find/?q=Juan+Antonio+Bayona&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:b859fde296d093c04e56a9d1061e8a509bf4e0be,,,,,,,,,,,,
Judd Apatow,T2,Established,US/UK,Comedy,"Action-comedy,Drama",Mid/Studio,"comedic, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Judd+Apatow,https://www.imdb.com/find/?q=Judd+Apatow&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:1f2786c6e79d05d5cbbf74badefefea9fdda246c,,,,,,,,,,,,
Justin Kurzel,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Justin+Kurzel,https://www.imdb.com/find/?q=Justin+Kurzel&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:27f70aa96a2d4ede26661c8625afd646866bc650,,,,,,,,,,,,
Kasi Lemmons,T2,Established,US/Intl,Prestige drama,"Drama,Biopic,Historical/Epic",Mid/Studio,"character-forward, cinematic",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Kasi+Lemmons,https://www.imdb.com/find/?q=Kasi+Lemmons&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:1719fccfb8e649f44825d78315c39d81065cc337,,,,,,,,,,,,
